Pups: 95, Wolves: 73
Total configs: 41984
Unique configs: 14204
Step 346: (BOAT) left=[2, 33], right=[93, 40]
Step 347:        left=[0, 33], right=[95, 40]  (BOAT)
Step 348: (BOAT) left=[1, 33], right=[94, 40]
Step 349:        left=[1, 32], right=[94, 41]  (BOAT)
Step 350: (BOAT) left=[2, 32], right=[93, 41]
Step 351:        left=[0, 32], right=[95, 41]  (BOAT)
Step 352: (BOAT) left=[1, 32], right=[94, 41]
Step 353:        left=[1, 31], right=[94, 42]  (BOAT)
Step 354: (BOAT) left=[2, 31], right=[93, 42]
Step 355:        left=[0, 31], right=[95, 42]  (BOAT)
Step 356: (BOAT) left=[1, 31], right=[94, 42]
Step 357:        left=[1, 30], right=[94, 43]  (BOAT)
Step 358: (BOAT) left=[2, 30], right=[93, 43]
Step 359:        left=[0, 30], right=[95, 43]  (BOAT)
Step 360: (BOAT) left=[1, 30], right=[94, 43]
Step 361:        left=[1, 29], right=[94, 44]  (BOAT)
Step 362: (BOAT) left=[2, 29], right=[93, 44]
Step 363:        left=[0, 29], right=[95, 44]  (BOAT)
Step 364: (BOAT) left=[1, 29], right=[94, 44]
Step 365:        left=[1, 28], right=[94, 45]  (BOAT)
Step 366: (BOAT) left=[2, 28], right=[93, 45]
Step 367:        left=[0, 28], right=[95, 45]  (BOAT)
Step 368: (BOAT) left=[1, 28], right=[94, 45]
Step 369:        left=[1, 27], right=[94, 46]  (BOAT)
Step 370: (BOAT) left=[2, 27], right=[93, 46]
Step 371:        left=[0, 27], right=[95, 46]  (BOAT)
Step 372: (BOAT) left=[1, 27], right=[94, 46]
Step 373:        left=[1, 26], right=[94, 47]  (BOAT)
Step 374: (BOAT) left=[2, 26], right=[93, 47]
Step 375:        left=[0, 26], right=[95, 47]  (BOAT)
Step 376: (BOAT) left=[1, 26], right=[94, 47]
Step 377:        left=[1, 25], right=[94, 48]  (BOAT)
Step 378: (BOAT) left=[2, 25], right=[93, 48]
Step 379:        left=[0, 25], right=[95, 48]  (BOAT)
Step 380: (BOAT) left=[1, 25], right=[94, 48]
Step 381:        left=[1, 24], right=[94, 49]  (BOAT)
Step 382: (BOAT) left=[2, 24], right=[93, 49]
Step 383:        left=[0, 24], right=[95, 49]  (BOAT)
Step 384: (BOAT) left=[1, 24], right=[94, 49]
Step 385:        left=[1, 23], right=[94, 50]  (BOAT)
Step 386: (BOAT) left=[2, 23], right=[93, 50]
Step 387:        left=[0, 23], right=[95, 50]  (BOAT)
Step 388: (BOAT) left=[1, 23], right=[94, 50]
Step 389:        left=[1, 22], right=[94, 51]  (BOAT)
Step 390: (BOAT) left=[2, 22], right=[93, 51]
Step 391:        left=[0, 22], right=[95, 51]  (BOAT)
Step 392: (BOAT) left=[1, 22], right=[94, 51]
Step 393:        left=[1, 21], right=[94, 52]  (BOAT)
Step 394: (BOAT) left=[2, 21], right=[93, 52]
Step 395:        left=[0, 21], right=[95, 52]  (BOAT)
Step 396: (BOAT) left=[1, 21], right=[94, 52]
Step 397:        left=[1, 20], right=[94, 53]  (BOAT)
Step 398: (BOAT) left=[2, 20], right=[93, 53]
Step 399:        left=[0, 20], right=[95, 53]  (BOAT)
Step 400: (BOAT) left=[1, 20], right=[94, 53]
Step 401:        left=[1, 19], right=[94, 54]  (BOAT)
Step 402: (BOAT) left=[2, 19], right=[93, 54]
Step 403:        left=[0, 19], right=[95, 54]  (BOAT)
Step 404: (BOAT) left=[1, 19], right=[94, 54]
Step 405:        left=[1, 18], right=[94, 55]  (BOAT)
Step 406: (BOAT) left=[2, 18], right=[93, 55]
Step 407:        left=[0, 18], right=[95, 55]  (BOAT)
Step 408: (BOAT) left=[1, 18], right=[94, 55]
Step 409:        left=[1, 17], right=[94, 56]  (BOAT)
Step 410: (BOAT) left=[2, 17], right=[93, 56]
Step 411:        left=[0, 17], right=[95, 56]  (BOAT)
Step 412: (BOAT) left=[1, 17], right=[94, 56]
Step 413:        left=[1, 16], right=[94, 57]  (BOAT)
Step 414: (BOAT) left=[2, 16], right=[93, 57]
Step 415:        left=[0, 16], right=[95, 57]  (BOAT)
Step 416: (BOAT) left=[1, 16], right=[94, 57]
Step 417:        left=[1, 15], right=[94, 58]  (BOAT)
Step 418: (BOAT) left=[2, 15], right=[93, 58]
Step 419:        left=[0, 15], right=[95, 58]  (BOAT)
Step 420: (BOAT) left=[1, 15], right=[94, 58]
Step 421:        left=[1, 14], right=[94, 59]  (BOAT)
Step 422: (BOAT) left=[2, 14], right=[93, 59]
